Month_Code,Quarter_StartDec,Month,FluSeason,Quarter_StartNov,Quarter_StartJan
2011/01,"	2011Q1",January,2011,2011Q1,2011Q1
2011/02,"	2011Q1",February,2011,2011Q2,2011Q1
2011/03,"	2011Q2",March,2011,2011Q2,2011Q1
2011/04,"	2011Q2",April,2011,2011Q2,2011Q2
2011/05,"	2011Q2",May,2011,2011Q3,2011Q2
2011/06,"	2011Q3",June,2011,2011Q3,2011Q2
2011/07,"	2011Q3",July,2011,2011Q3,2011Q3
2011/08,"	2011Q3",August,2011,2011Q4,2011Q3
2011/09,"	2011Q4",September,2011,2011Q4,2011Q3
2011/10,"	2011Q4",October,2012,2011Q4,2011Q4
2011/11,"	2011Q4",November,2012,2012Q1,2011Q4
2011/12,"	2011Q1",December,2012,2012Q1,2011Q4
2012/01,"	2012Q1",January,2012,2012Q1,2012Q1
2012/02,"	2012Q1",February,2012,2012Q2,2012Q1
2012/03,"	2012Q2",March,2012,2012Q2,2012Q1
2012/04,"	2012Q2",April,2012,2012Q2,2012Q2
2012/05,"	2012Q2",May,2012,2012Q3,2012Q2
2012/06,"	2012Q3",June,2012,2012Q3,2012Q2
2012/07,"	2012Q3",July,2012,2012Q3,2012Q3
2012/08,"	2012Q3",August,2012,2012Q4,2012Q3
2012/09,"	2012Q4",September,2012,2012Q4,2012Q3
2012/10,"	2012Q4",October,2013,2012Q4,2012Q4
2012/11,"	2012Q4",November,2013,2013Q1,2012Q4
2012/12,"	2012Q1",December,2013,2013Q1,2012Q4
2013/01,"	2013Q1",January,2013,2013Q1,2013Q1
2013/02,"	2013Q1",February,2013,2013Q2,2013Q1
2013/03,"	2013Q2",March,2013,2013Q2,2013Q1
2013/04,"	2013Q2",April,2013,2013Q2,2013Q2
2013/05,"	2013Q2",May,2013,2013Q3,2013Q2
2013/06,"	2013Q3",June,2013,2013Q3,2013Q2
2013/07,"	2013Q3",July,2013,2013Q3,2013Q3
2013/08,"	2013Q3",August,2013,2013Q4,2013Q3
2013/09,"	2013Q4",September,2013,2013Q4,2013Q3
2013/10,"	2013Q4",October,2014,2013Q4,2013Q4
2013/11,"	2013Q4",November,2014,2014Q1,2013Q4
2013/12,"	2013Q1",December,2014,2014Q1,2013Q4
2014/01,"	2014Q1",January,2014,2014Q1,2014Q1
2014/02,"	2014Q1",February,2014,2014Q2,2014Q1
2014/03,"	2014Q2",March,2014,2014Q2,2014Q1
2014/04,"	2014Q2",April,2014,2014Q2,2014Q2
2014/05,"	2014Q2",May,2014,2014Q3,2014Q2
2014/06,"	2014Q3",June,2014,2014Q3,2014Q2
2014/07,"	2014Q3",July,2014,2014Q3,2014Q3
2014/08,"	2014Q3",August,2014,2014Q4,2014Q3
2014/09,"	2014Q4",September,2014,2014Q4,2014Q3
2014/10,"	2014Q4",October,2015,2014Q4,2014Q4
2014/11,"	2014Q4",November,2015,2015Q1,2014Q4
2014/12,"	2014Q1",December,2015,2015Q1,2014Q4
2015/01,"	2015Q1",January,2015,2015Q1,2015Q1
2015/02,"	2015Q1",February,2015,2015Q2,2015Q1
2015/03,"	2015Q2",March,2015,2015Q2,2015Q1
2015/04,"	2015Q2",April,2015,2015Q2,2015Q2
2015/05,"	2015Q2",May,2015,2015Q3,2015Q2
2015/06,"	2015Q3",June,2015,2015Q3,2015Q2
2015/07,"	2015Q3",July,2015,2015Q3,2015Q3
2015/08,"	2015Q3",August,2015,2015Q4,2015Q3
2015/09,"	2015Q4",September,2015,2015Q4,2015Q3
2015/10,"	2015Q4",October,2016,2015Q4,2015Q4
2015/11,"	2015Q4",November,2016,2016Q1,2015Q4
2015/12,"	2015Q1",December,2016,2016Q1,2015Q4
2016/01,"	2016Q1",January,2016,2016Q1,2016Q1
2016/02,"	2016Q1",February,2016,2016Q2,2016Q1
2016/03,"	2016Q2",March,2016,2016Q2,2016Q1
2016/04,"	2016Q2",April,2016,2016Q2,2016Q2
2016/05,"	2016Q2",May,2016,2016Q3,2016Q2
2016/06,"	2016Q3",June,2016,2016Q3,2016Q2
2016/07,"	2016Q3",July,2016,2016Q3,2016Q3
2016/08,"	2016Q3",August,2016,2016Q4,2016Q3
2016/09,"	2016Q4",September,2016,2016Q4,2016Q3
2016/10,"	2016Q4",October,2017,2016Q4,2016Q4
2016/11,"	2016Q4",November,2017,2017Q1,2016Q4
2016/12,"	2016Q1",December,2017,2017Q1,2016Q4
2017/01,"	2017Q1",January,2017,2017Q1,2017Q1
2017/02,"	2017Q1",February,2017,2017Q2,2017Q1
2017/03,"	2017Q2",March,2017,2017Q2,2017Q1
2017/04,"	2017Q2",April,2017,2017Q2,2017Q2
2017/05,"	2017Q2",May,2017,2017Q3,2017Q2
2017/06,"	2017Q3",June,2017,2017Q3,2017Q2
2017/07,"	2017Q3",July,2017,2017Q3,2017Q3
2017/08,"	2017Q3",August,2017,2017Q4,2017Q3
2017/09,"	2017Q4",September,2017,2017Q4,2017Q3
2017/10,"	2017Q4",October,2018,2017Q4,2017Q4
2017/11,"	2017Q4",November,2018,2017Q4,2017Q4
2017/12,"	2017Q4",December,2018,2017Q4,2017Q4
